Quadrat,Lat,Long,Elev,MTAnn,Isoth,MnTCP,T_AR,MTWetQ,MTDQ,MTClQ,Pann,PWetP,PSeas,PWrQ,EC,pH,OrgC,NTOT,PTOT,Pav,Kav,Mg,Ca,K,Clay,Silt,Sand,Stype,Sdep,ibra
HY04,-32.6908,118.975,397,15.8,0.51,4.2,27,10.9,20.6,9.9,350,54,49,45,4,6.1,0.99,0.03,17,0.2,120,0.66,1.19,0.24,1.2,2.3,96.6,2,1,Mallee
HY05,-32.7597,119.0019,420,15.6,0.51,4.2,26.7,10.8,20.3,9.8,354,54,49,46,5,6.2,1.63,0.046,22,0.2,78,0.72,3.68,0.15,2.7,3.3,94,2,3,Mallee
HY06,-32.7694,119.0089,423,15.6,0.51,4.2,26.7,10.7,20.3,9.8,354,54,49,47,2,6.1,0.69,0.025,10,0.2,35,0.21,1.03,0.05,3.2,4.3,92.5,1,9,Mallee
HY07,-32.7778,119.2336,422,15.7,0.51,4.3,26.4,10.8,20.2,9.9,347,51,45,48,2,6.1,0.43,0.022,18,0.2,32,0.11,0.75,0.03,1.2,1.5,97.2,1,1,Mallee
HY09,-32.9139,119.4756,339,16,0.52,4.8,25.7,11.4,20.3,10.4,327,46,41,48,5,5.7,0.53,0.024,14,0.2,73,0.49,0.91,0.15,2.7,2.5,94.8,1,9,Mallee
HY10,-32.6931,119.3403,323,16.3,0.51,4.7,26.6,11.4,20.9,10.5,329,48,44,46,13,6.2,1.64,0.096,80,2,150,0.98,5.21,0.34,1.8,1.7,96.4,5,4,Mallee
HY12,-32.5422,119.3783,310,16.5,0.51,4.7,27,11.5,22.6,10.6,327,48,44,46,29,7.4,2.08,0.115,110,5,540,5.01,8,1.53,2.1,3.9,94.1,4,3,Mallee
HY13,-32.6147,119.1028,342,16.2,0.51,4.5,27.1,11.2,21,10.3,339,51,47,46,18,6.4,0.85,0.034,28,0.2,88,1.18,2.77,0.22,2.8,2.6,94.5,4,2,Mallee
HY14,-32.5572,119.0678,331,16.3,0.51,4.5,27.3,11.3,21.1,10.3,338,51,48,45,19,6.5,0.67,0.034,27,2,120,0.95,3.84,0.31,4.7,3.3,92.1,2,3,Mallee
HY15,-32.7797,119.0759,451,15.5,0.51,4.1,26.5,10.6,20.1,9.6,357,54,47,48,21,6.8,2.25,0.084,37,3,160,3.74,5.59,0.31,4.9,2.9,92.2,4,2,Mallee
HY16,-32.8217,119.0661,409,15.7,0.51,4.3,26.4,10.8,20.2,9.9,350,53,47,47,13,6.6,1.94,0.079,74,5,240,3.54,5.27,0.64,4.3,3.8,91.9,4,2,Mallee
HY17,-32.8246,119.0436,408,15.7,0.51,4.3,26.5,10.8,20.2,9.9,351,53,48,47,4,5.7,0.5,0.021,20,0.2,52,0.21,0.56,0.11,2.9,2.9,94.3,2,2,Mallee
HY18,-32.8219,119.0336,407,15.7,0.51,4.3,26.5,10.8,20.2,9.9,351,53,48,47,10,6.6,0.99,0.048,50,0.2,77,0.64,3.46,0.19,1.2,3.1,95.7,5,7,Mallee
HY19,-32.7305,119.0034,402,15.8,0.51,4.2,26.8,10.9,20.4,9.9,350,53,49,46,69,5.8,2.52,0.065,46,0.2,100,2.95,1.93,0.2,9.8,3.3,86.9,4,1,Mallee
HY21,-32.8175,119.4011,313,16.2,0.52,4.9,26.1,11.5,20.6,10.5,325,47,43,47,37,6.9,2.75,0.124,69,2,470,6.31,8.67,1.31,4.6,5.4,90,4,1,Mallee
HY22,-32.6078,119.3472,366,16.1,0.51,4.5,26.8,11.2,22.2,10.2,337,49,44,48,3,6.1,1.18,0.048,40,0.2,110,0.42,1.7,0.22,2.3,2.3,95.4,2,2,Mallee
HY23,-32.6881,119.0946,357,16.1,0.51,4.4,26.9,11.1,20.7,10.2,341,51,47,46,8,6.6,1.24,0.05,41,3,86,2.29,2.51,0.2,4.3,2.7,92.9,4,1,Mallee
HY24,-32.7022,119.3692,320,16.3,0.51,4.7,26.5,11.4,20.9,10.5,328,48,44,46,33,7.9,2.46,0.124,64,4,300,2.22,13.76,0.74,2.2,2.4,95.4,1,9,Mallee
HY26,-32.7552,119.1314,398,15.8,0.51,4.3,26.6,10.9,20.4,10,346,52,47,47,8,5.8,1.2,0.04,29,0.2,71,0.43,1.44,0.08,3.3,1.6,95.1,2,4,Mallee
HY27,-32.753,119.1109,392,15.8,0.51,4.3,26.6,10.9,20.4,10,346,52,47,47,4,6.2,0.7,0.027,18,0.2,96,0.34,0.88,0.18,3.1,2,94.8,2,1,Mallee
HY28,-32.756,119.1378,396,15.8,0.51,4.3,26.6,10.9,20.4,10,346,52,47,47,3,6.2,0.53,0.026,21,0.2,98,0.36,0.85,0.19,3.7,3.1,93.2,2,1,Mallee
HY29,-32.639,118.9761,398,15.9,0.51,4.2,27.1,10.9,20.7,9.9,350,54,49,46,6,6.7,2.74,0.094,73,2,350,2.98,7.51,0.97,2.5,3.7,93.8,2,1,Mallee
HY30,-32.63,118.9748,398,15.9,0.51,4.2,27.2,10.9,20.7,9.9,350,54,49,46,4,6.2,1.08,0.039,30,0.2,94,0.5,1.74,0.16,2.6,2.7,94.6,4,1,Mallee
HY31,-32.6244,118.9754,398,15.9,0.51,4.2,27.2,10.9,20.7,9.9,350,54,49,46,3,6.2,1.02,0.044,43,0.2,150,0.52,1.82,0.27,2.6,3.3,94.1,2,2,Mallee
HY32,-32.6136,118.9536,400,15.9,0.5,4.2,27.2,10.9,20.7,9.9,350,54,50,45,4,6.2,0.74,0.036,31,0.2,180,0.98,1.69,0.35,3.7,2.8,93.4,2,4,Mallee
HY33,-32.7513,118.9524,416,15.7,0.51,4.2,26.8,10.8,20.3,9.8,354,54,50,46,3,6.3,0.62,0.026,19,0.2,72,0.22,0.94,0.14,1.7,2.2,96,2,1,Mallee
HY34,-32.7873,119.0679,452,15.5,0.51,4.1,26.5,10.6,20.1,9.6,357,54,47,48,6,6.5,1.21,0.061,72,0.2,150,1.08,3.54,0.44,1.8,2.3,95.9,5,1,Mallee
HY35,-32.6442,118.9908,393,15.9,0.51,4.2,27.1,10.9,20.7,10,349,53,49,46,11,6.9,2.65,0.114,97,3,300,4.79,5.17,0.74,4.7,2.4,92.9,4,1,Mallee
HY36,-32.6132,118.9388,400,15.9,0.5,4.2,27.2,10.9,20.7,9.9,350,54,50,45,4,6.4,1.38,0.049,45,0.2,150,0.66,2.87,0.3,3,3.5,93.5,2,3,Mallee
HY37,-32.617,118.9438,400,15.9,0.5,4.2,27.2,10.9,20.7,9.9,350,54,50,45,15,5.8,2.41,0.075,52,2,150,5.28,6.46,0.54,10.7,2.3,87,4,2,Mallee
HY38,-32.6396,119.0695,348,16.2,0.51,4.4,27.1,11.2,20.9,10.2,340,51,48,45,4,6.4,0.67,0.029,24,0.2,130,0.97,1.51,0.29,3.7,2.8,93.4,2,2,Mallee
HY39,-32.6364,119.0501,358,16.1,0.51,4.4,27.1,11.1,20.8,10.2,342,52,48,45,4,6.1,0.84,0.034,27,2,150,0.99,1.48,0.3,3.6,2.7,93.6,2,1,Mallee
HY40,-32.6949,118.9446,385,15.9,0.51,4.3,27,10.9,20.6,10,348,54,50,45,4,6.2,0.77,0.026,20,0.2,88,0.41,0.98,0.19,3.6,2.5,93.9,2,2,Mallee
HY41,-32.7064,118.9434,381,15.9,0.51,4.3,27,11,20.6,10,348,54,50,45,16,6.8,3.03,0.135,150,5,280,3.9,9.04,0.75,6.7,2.7,90.6,4,1,Mallee
HY42,-32.6909,119.0304,380,15.9,0.51,4.3,26.9,11,20.6,10,346,53,48,46,19,7.1,2.74,0.112,66,4,290,4.64,10.4,0.74,3.9,2.7,93.4,4,1,Mallee
HY43,-32.7454,118.9887,422,15.7,0.51,4.2,26.8,10.7,20.3,9.8,354,54,49,46,59,6,4.36,0.125,54,4,280,5.26,9.65,0.55,4.2,1,94.8,4,3,Mallee
HY44,-32.7203,119.0036,398,15.8,0.51,4.2,26.8,10.9,20.5,9.9,350,53,49,46,3,6.3,0.53,0.022,16,0.2,54,0.16,0.67,0.12,1.7,2,96.3,1,9,Mallee
HY45,-32.7716,119.0849,414,15.7,0.51,4.2,26.6,10.8,20.3,9.9,350,53,47,47,4,6.4,1.23,0.05,44,2,150,0.4,1.64,0.31,4.2,4.4,91.3,4,1,Mallee
HY46,-32.7843,119.0712,452,15.5,0.51,4.1,26.5,10.6,20.1,9.6,357,54,47,48,4,6.1,1.12,0.045,35,2,79,0.4,2.26,0.17,4.1,2.5,93.4,5,3,Mallee
HY47,-32.8279,119.0459,403,15.7,0.51,4.3,26.4,10.9,20.2,9.9,350,53,48,47,11,6.8,2.11,0.102,72,3,180,2.3,6.57,0.46,4.3,4.7,91,4,2,Mallee
HY48,-32.7448,119.0211,397,15.8,0.51,4.3,26.8,10.9,20.4,9.9,349,53,49,46,4,6.2,1.09,0.047,34,0.2,140,0.53,1.2,0.24,3.6,3,93.3,2,1,Mallee
HY49,-32.7465,119.0652,393,15.8,0.51,4.3,26.7,10.9,20.5,10,347,52,48,46,5,6.8,1.63,0.078,66,2,210,2.55,4.52,0.51,2.8,2.9,94.3,4,1,Mallee
HY50,-32.8347,119.0032,378,15.8,0.51,4.4,26.5,11,20.4,10,348,53,49,46,3,6.4,1.05,0.042,33,0.2,120,0.37,1.66,0.21,3.6,3.3,93,2,2,Mallee
HY51,-32.8337,119.0279,390,15.7,0.51,4.4,26.5,10.9,20.3,10,349,53,48,46,5,6.9,1.01,0.06,43,2,150,0.99,3.72,0.36,3.3,3.4,93.3,5,2,Mallee
HY52,-32.823,119.0371,407,15.7,0.51,4.3,26.5,10.8,20.2,9.9,351,53,48,47,11,5.9,3.6,0.218,78,3,210,2.12,10.2,0.42,3.9,2.6,93.5,5,2,Mallee
HY53,-32.8238,119.0597,409,15.6,0.51,4.3,26.4,10.8,20.2,9.9,351,53,47,47,35,7.4,3.5,0.186,280,24,580,6.62,17.5,1.56,1.7,2,96.3,4,1,Mallee
HY54,-32.8748,119.1153,343,16,0.51,4.6,26.2,11.2,20.4,10.3,338,50,46,46,10,6.2,1.57,0.067,36,3,140,1.5,3.73,0.31,2.9,1.3,95.8,4,3,Mallee
HY55,-32.8564,119.1854,339,16,0.51,4.7,26.2,11.3,20.5,10.3,334,49,45,46,3,6.8,0.61,0.029,28,2,84,1.02,2.03,0.23,5.8,2.1,92.1,4,1,Mallee
HY56,-32.6088,119.3572,360,16.2,0.51,4.5,26.8,11.2,22.2,10.3,336,49,44,48,2,6,0.61,0.031,24,0.2,99,0.46,1.22,0.16,2.8,2.3,94.8,2,2,Mallee
HY57,-32.6091,119.3487,366,16.1,0.51,4.5,26.8,11.2,22.2,10.2,337,49,44,48,11,6.4,1,0.034,33,2,120,1.04,2.7,0.2,3.3,1.6,95.1,4,1,Mallee
HY58,-32.6283,119.3336,372,16.1,0.51,4.5,26.8,11.1,22.1,10.2,338,50,44,48,5,6,0.91,0.033,25,0.2,76,0.5,1.65,0.14,2.2,2.1,95.7,2,1,Mallee
HY59,-32.6463,119.341,352,16.2,0.51,4.6,26.7,11.2,22.2,10.3,335,49,44,47,6,6,0.8,0.047,83,2,120,0.5,4.26,0.2,1.8,1.8,96.4,5,5,Mallee
HY60,-32.6443,119.3384,354,16.2,0.51,4.6,26.7,11.2,22.2,10.3,335,49,44,47,6,6,1.86,0.126,140,3,110,0.47,1.79,0.16,3.7,3.1,93.2,5,1,Mallee
HY62,-32.6446,119.3884,332,16.3,0.51,4.7,26.7,11.4,22.3,10.4,330,48,43,47,10,6.9,0.75,0.026,14,2,74,0.73,3.25,0.21,2.9,1,96.1,4,3,Mallee
HY63,-32.644,119.3826,336,16.3,0.51,4.6,26.7,11.3,22.3,10.4,331,48,44,47,37,6.1,1.25,0.046,20,2,47,1.41,3.08,0.1,2.8,1.2,96,1,9,Mallee
HY64,-32.5862,119.4156,312,16.5,0.51,4.7,26.9,11.5,22.5,10.6,327,48,43,47,63,8.3,2.49,0.164,100,5,620,4.69,16.29,2.16,2.5,4.8,92.7,4,5,Mallee
HY66,-32.5416,119.3828,311,16.5,0.51,4.7,27,11.5,22.6,10.6,327,48,44,46,24,7.4,2.18,0.127,95,5,540,4.64,10.2,1.56,2.2,2.8,95,4,2,Mallee
HY67,-32.5482,119.3749,310,16.5,0.51,4.7,27,11.5,22.6,10.6,327,48,44,46,13,7.8,1.59,0.111,140,8,580,3.18,9.07,1.67,4,3.9,92.2,4,1,Mallee
HY68,-32.6307,119.3597,361,16.1,0.51,4.5,26.8,11.2,22.2,10.3,336,49,44,48,4,5.8,0.66,0.039,34,2,120,0.47,1.32,0.25,3.3,2.2,94.5,2,3,Mallee
HY69,-32.6203,119.3545,368,16.1,0.51,4.5,26.8,11.2,22.2,10.2,337,49,44,48,4,6.3,1.36,0.057,41,3,110,0.97,3.95,0.19,4.3,2.5,93.2,4,2,Mallee
HY72,-32.647,119.4007,324,16.3,0.51,4.7,26.7,11.4,22.3,10.5,329,48,43,47,18,7.9,0.96,0.063,45,2,370,2.38,8.1,1.1,3.2,3,93.8,4,1,Mallee
HY73,-32.5511,119.4415,328,16.4,0.51,4.7,26.9,11.4,22.5,10.5,329,48,43,47,9,6.8,0.69,0.027,25,2,85,0.99,3.26,0.29,4.2,1.8,93.9,4,2,Mallee
HY74,-32.5569,119.4186,312,16.5,0.51,4.7,26.9,11.5,22.5,10.6,327,48,43,47,3,6.2,0.96,0.052,53,2,120,0.74,2.76,0.21,5.2,4.3,90.5,4,2,Mallee
HY77,-32.5729,119.4043,311,16.5,0.51,4.7,26.9,11.5,22.5,10.6,327,48,43,46,8,7.6,1.36,0.086,81,4,480,4.14,7.67,1.58,3.8,3.2,93,4,2,Mallee
HY78,-32.5808,119.4088,312,16.5,0.51,4.7,26.9,11.5,22.5,10.6,327,48,43,46,9,7.7,1.77,0.123,100,4,580,3.48,10.78,1.84,4.1,4.6,91.4,4,1,Mallee
HY79,-32.644,119.3338,352,16.2,0.51,4.6,26.7,11.2,22.2,10.3,335,49,44,47,3,6.2,0.48,0.029,30,2,120,0.64,1.14,0.23,4.8,1.8,93.4,2,1,Mallee
HY80,-32.6451,119.3483,353,16.2,0.51,4.6,26.7,11.2,22.2,10.3,335,49,44,47,4,6.5,0.8,0.031,49,2,80,1.14,3.32,0.39,3.7,3.1,93.2,4,2,Mallee
HY81,-32.6428,119.3394,357,16.2,0.51,4.5,26.7,11.2,22.2,10.3,335,49,44,47,11,6.4,1.85,0.096,140,6,300,2.66,6.12,0.5,3.7,3,93.3,4,1,Mallee
HY82,-32.6544,119.7111,422,15.8,0.51,4.4,26.3,10.9,20.4,10,341,47,41,50,28,6.4,2.54,0.114,59,5,440,5.01,8.72,0.86,4.7,2.1,93.2,4,1,Mallee
JB01,-31.5783,116.2636,128,17.6,0.51,6.2,26.6,11.9,23.8,11.9,671,136,85,43,7,5.3,2.13,0.121,72,3,110,0.72,1.12,0.24,2.2,4.1,93.7,4,2,Jarrah Forest
JB02,-31.5868,116.2664,161,17.4,0.5,6.1,26.5,11.7,23.6,11.7,689,140,85,44,10,5.9,2.86,0.13,89,3,120,1.16,5.16,0.25,1.2,3.8,95,5,1,Jarrah Forest
JB05,-31.6366,116.3979,212,17.2,0.5,5.6,27.1,11.3,23.6,11.3,616,126,84,36,8,5.6,2.91,0.103,67,4,75,0.95,2.77,0.16,3.3,2.8,93.8,4,1,Jarrah Forest
JB06,-31.3212,116.561,221,17.6,0.5,5.8,27.7,12.6,22.4,11.5,412,80,76,35,6,5.8,1.58,0.087,75,3,160,0.79,2.54,0.33,4.4,3.7,91.9,4,1,Avon Wheatbelt
JB07,-31.3099,116.4001,289,17.1,0.49,5.7,27.1,11.2,21.8,11.2,532,104,79,37,2,6,0.6,0.022,21,0.2,15,0.18,0.91,0.04,0.3,2.1,97.6,1,9,Jarrah Forest
JB08,-31.4002,116.3179,310,16.9,0.49,5.6,26.6,11,23.2,11,640,126,81,38,8,6.3,2.34,0.106,110,4,160,2.07,5.28,0.35,2.4,4.5,93,4,3,Jarrah Forest
JB09,-31.4513,116.2728,268,17,0.5,5.8,26.4,11.2,23.3,11.2,681,135,82,47,6,5.9,5.49,0.176,83,3,89,1.45,9.15,0.18,2,3.3,94.7,4,2,Jarrah Forest
JB10,-31.4502,116.2443,250,17.1,0.5,5.9,26.3,11.4,23.3,11.4,692,138,82,47,7,6,6.53,0.176,190,6,150,2.64,11.06,0.35,1.6,3.6,94.9,2,3,Jarrah Forest
JB11,-31.426,116.1651,219,17.2,0.5,6.2,25.9,11.6,23.3,11.6,712,141,83,45,170,6.3,4.38,0.164,210,5,140,8.9,1.51,0.2,1.8,7.7,90.5,4,2,Jarrah Forest
JB12,-31.4014,116.1644,254,17.1,0.5,6.1,25.9,11.4,23.2,11.4,714,141,83,46,2,5.8,0.99,0.024,27,2,23,0.5,1.87,0.06,0.4,1.9,97.7,2,4,Jarrah Forest
JB13,-31.3562,116.2174,271,17.1,0.5,6,26.2,11.3,23.3,11.3,671,133,81,47,3,6.3,1.32,0.052,47,2,60,0.61,2.44,0.1,0.8,2.3,97,1,9,Jarrah Forest
JB14,-31.5948,116.2657,190,17.2,0.5,6,26.4,11.6,23.4,11.6,707,143,85,45,19,5.9,9.06,0.232,120,7,300,3.44,10.37,0.48,2,2.1,95.9,4,1,Jarrah Forest
JB15,-31.6085,116.2615,243,17,0.5,5.9,26.2,11.3,23.2,11.3,741,150,85,46,6,6.1,1.45,0.061,62,4,120,0.54,1.98,0.24,2.3,3,94.7,2,4,Jarrah Forest
JB16,-31.6343,116.272,333,16.5,0.49,5.6,25.9,10.8,22.7,10.8,780,158,84,49,9,5.6,5.96,0.193,90,4,190,1.69,5.87,0.41,2,3.3,94.7,2,2,Jarrah Forest
JB19,-31.3075,116.4056,287,17.1,0.49,5.7,27.1,11.2,21.8,11.2,526,102,79,37,10,6.9,1.96,0.091,80,2,120,0.8,4.6,0.27,2.6,2.8,94.6,4,1,Jarrah Forest
JB21,-31.4938,116.5765,264,17.2,0.49,5.3,27.8,11,22,11,466,90,78,36,7,6.2,8.36,0.262,190,5,190,2.51,12.04,0.35,1.5,3.8,94.8,2,1,Avon Wheatbelt
JB22,-31.4938,116.5765,264,17.2,0.49,5.3,27.8,11,22,11,466,90,78,36,83,5.6,8.97,0.296,160,4,360,4.85,7.55,0.59,3.3,4.8,91.9,4,1,Avon Wheatbelt
JB23,-31.4924,116.5931,232,17.3,0.5,5.4,27.9,11.2,22.2,11.2,447,86,77,35,31,6.2,4.26,0.227,260,7,440,7.88,11.53,0.67,3.4,5.5,91.1,4,2,Avon Wheatbelt
KL02,-31.9641,117.9343,246,17.2,0.49,4.8,28.6,11.9,22.4,10.9,312,55,61,35,24,6.7,1.63,0.098,140,10,560,4.14,5.56,1.45,3.2,4.6,92.1,4,2,Avon Wheatbelt
KL03,-31.9187,117.9798,260,17.2,0.49,4.7,28.7,11.9,22.4,10.8,314,55,60,36,3,6.1,0.58,0.029,23,2,49,0.26,0.97,0.06,1.4,1.2,97.5,1,9,Avon Wheatbelt
KL04,-31.8566,118.104,289,17.2,0.49,4.6,28.8,11.7,22.4,10.7,320,54,58,39,6,6.1,1.3,0.061,55,3,180,1.63,3.08,0.33,3.6,3.7,92.7,4,2,Avon Wheatbelt
KL05,-31.7612,118.063,349,16.9,0.49,4.5,28.7,11.5,22.2,10.4,329,56,57,41,2,6.1,0.59,0.025,23,2,58,0.2,1.11,0.09,1.7,3.3,95,5,5,Avon Wheatbelt
KL06,-31.7594,118.0292,345,17,0.49,4.5,28.7,11.5,22.3,10.4,328,56,58,40,2,5.4,0.76,0.03,19,0.2,28,0.22,0.58,0.06,2.8,1.9,95.3,1,9,Avon Wheatbelt
KL07,-31.4499,117.7747,343,17.3,0.48,4.9,28.4,11.8,22.6,10.8,327,56,58,40,7,6.4,1.26,0.053,63,2,140,1.84,3.09,0.26,3.7,2.8,93.5,4,2,Avon Wheatbelt
KL08,-31.4023,117.7589,387,17.1,0.48,4.8,28.4,11.6,22.4,10.6,335,57,58,41,4,5.8,1.12,0.06,57,0.2,120,0.32,1.98,0.19,2.8,2.6,94.5,5,2,Avon Wheatbelt
KL09,-31.4094,117.7505,384,17.1,0.48,4.8,28.3,11.6,22.4,10.6,336,57,58,41,2,5.8,0.5,0.021,16,0.2,38,0.14,0.42,0.05,3,1.9,95.1,2,1,Avon Wheatbelt
KL10,-31.4126,117.7552,381,17.1,0.48,4.8,28.4,11.6,22.4,10.6,335,57,58,41,2,5.6,0.44,0.022,23,0.2,38,0.2,0.46,0.06,2.8,1.8,95.4,1,9,Avon Wheatbelt
KL11,-31.4049,117.759,385,17.1,0.48,4.8,28.4,11.6,22.4,10.6,335,57,58,41,2,5.5,0.62,0.027,20,0.2,23,0.1,0.49,0.04,1.8,0.9,97.3,2,2,Avon Wheatbelt
KL12,-31.3774,117.9337,276,17.7,0.48,5.1,28.7,12.2,23.1,11.2,304,51,56,39,5,7.4,1.1,0.072,76,4,370,3.23,9.9,1.22,4.1,5.4,90.5,4,2,Avon Wheatbelt
KL13,-31.7325,117.7831,307,17.1,0.49,4.8,28.5,11.8,22.4,10.7,321,56,61,37,14,5.9,1.18,0.061,53,3,130,2.37,2.85,0.25,3.3,2.9,93.8,4,2,Avon Wheatbelt
KL14,-32.123,117.7769,375,16.3,0.49,4.2,28.3,11.1,21.5,10,353,64,65,36,2,5.5,0.5,0.024,18,0.2,72,0.27,0.79,0.13,2.8,2.5,94.8,2,6,Avon Wheatbelt
KL15,-32.1225,117.7793,374,16.3,0.49,4.2,28.3,11.1,21.5,10,353,63,65,36,4,5.8,0.97,0.036,21,0.2,69,0.33,0.74,0.14,2.8,1.5,95.7,2,2,Avon Wheatbelt
KL18,-31.5324,118.0835,263,17.7,0.49,5,28.9,12.1,23,11.1,306,51,55,40,79,8.4,2.57,0.172,160,9,970,3.43,18.73,2.43,1.9,6.8,91.3,4,2,Avon Wheatbelt
KL19,-31.4475,117.7788,342,17.3,0.48,4.9,28.4,11.8,22.6,10.8,326,56,58,40,17,6.2,1.32,0.064,62,2,180,2.29,3.61,0.35,4.6,3.7,91.7,4,2,Avon Wheatbelt
KL20,-31.9696,118.339,324,16.9,0.49,4.3,28.8,11.5,22.2,10.4,331,55,56,41,61,6.6,2.73,0.096,85,3,120,5.44,2.27,0.23,6.8,3.8,89.4,4,1,Avon Wheatbelt
KL21,-31.9697,118.3404,324,16.9,0.49,4.3,28.8,11.4,22.2,10.4,331,55,56,41,8,5.4,2.42,0.077,55,3,110,1.38,2.6,0.2,12.3,3.4,84.3,4,1,Avon Wheatbelt
KL22,-31.9689,118.3415,325,16.9,0.49,4.3,28.8,11.4,22.2,10.4,332,55,56,41,3,5.5,1.32,0.056,44,2,87,0.52,0.98,0.17,2.2,3.7,94.2,2,5,Avon Wheatbelt
KL23,-31.9826,118.3393,320,16.9,0.49,4.4,28.8,11.5,22.2,10.4,330,55,56,41,8,5.2,0.84,0.038,27,2,61,0.26,0.64,0.11,1.3,5.3,93.4,1,9,Avon Wheatbelt
KL24,-31.9841,118.4121,377,16.6,0.49,4.1,28.8,11.1,21.9,10.1,340,56,55,43,6,5.5,0.98,0.06,46,2,150,0.25,2.39,0.26,5.8,4.6,89.6,5,2,Avon Wheatbelt
KL25,-31.2571,118.1379,352,17.5,0.48,4.8,28.9,11.8,22.9,10.8,302,50,54,41,4,5.4,0.62,0.031,35,2,59,0.17,0.59,0.09,3.2,3.2,93.5,1,9,Avon Wheatbelt
KL26,-32.0896,117.6976,298,16.7,0.49,4.6,28.3,11.5,21.9,10.5,337,62,66,34,3,6.6,0.83,0.043,49,2,120,0.53,2.35,0.24,2.8,3.3,93.9,1,9,Avon Wheatbelt
KL27,-32.0892,117.693,295,16.8,0.49,4.6,28.3,11.5,21.9,10.5,337,62,66,34,4,5.8,0.54,0.037,32,2,62,0.12,0.74,0.09,3.2,2.6,94.1,4,7,Avon Wheatbelt
KL30,-32.1232,117.7807,373,16.3,0.49,4.2,28.3,11.1,21.5,10,352,63,65,36,2,5.9,0.59,0.027,24,0.2,57,0.25,1.04,0.12,2.3,2.5,95.2,2,2,Avon Wheatbelt
KL31,-32.1238,117.7846,370,16.3,0.49,4.3,28.3,11.1,21.5,10,352,63,65,36,5,6.4,2.47,0.103,70,3,140,1.88,5.32,0.25,2.2,2.4,95.4,4,1,Avon Wheatbelt
KL32,-32.1239,117.7796,374,16.3,0.49,4.2,28.3,11.1,21.5,10,353,63,65,36,1,5.6,0.6,0.034,29,0.2,44,0.35,0.94,0.08,2.8,1.8,95.4,1,9,Avon Wheatbelt
KL33,-32.1233,117.7753,377,16.3,0.49,4.2,28.3,11.1,21.5,10,353,64,65,36,5,6.3,1.75,0.066,51,3,63,1.03,3.17,0.1,1.8,2,96.2,4,2,Avon Wheatbelt
